name,height_in,weight_lbs,reach_in
Bubba McDaniel,75,185,75
Byron Bloodworth,68,135,69
CB Dollaway,74,185,76
CJ Hamilton,67,125,68
CM Punk,73,170,73
Cain Carrizosa,68,155,74
Cain Velasquez,73,240,77
Caio Magalhaes,73,185,73
Callan Potter,72,155,72
Calvin Kattar,71,145,72
Cameron Olson,73,205,75
Caol Uno,67,155,70
Carla Esparza,61,115,63
Carlo Pedersoli,71,170,75
Carlo Prater,71,155,72
Carlos Candelario,68,125,67
Carlos Condit,74,170,75
Carlos Eduardo Rocha,70,170,70
Carlos Huachin,64,135,67
Carls John De Tomas,65,125,71
Carmelo Marrero,72,205,73
Caros Fodor,69,155,76
Casey Kenney,67,135,68
Cat Zingano,66,145,68
Cathal Pendred,73,170,75
Cesar Arzamendia,71,155,71
Cezar Ferreira,73,185,78
Chad George,66,135,68
Chad Griggs,73,205,73
Chad Laprise,70,170,71
Chad Mendes,66,145,66
Chael Sonnen,73,205,74
Chan Sung Jung,67,145,72
Chance Rencountre,74,170,75
Chanmi Jeon,65,115,67
Charles Byrd,70,185,73
Charles Jourdain,69,155,69
Charles McCarthy,70,185,71
Charles Oliveira,70,155,74
Charles Rosa,69,145,69
Charlie Brenneman,70,155,72
Charlie Valencia,63,135,64
Charlie Ward,71,170,73
Chas Skelly,71,145,72
Chase Beebe,67,135,67
Chase Sherman,76,250,78
Chase Waldon,73,185,75
Che Mills,73,170,76
Cheick Kongo,76,240,82
Cheyden Leialoha,68,135,73
Chibwikem Onyenegecha-Palmer,75,185,76
Chico Camus,66,125,66
Chris Avila,70,145,72
Chris Beal,67,125,69
Chris Birchler,75,205,79
Chris Camozzi,74,185,76
Chris Cariaso,63,125,63
Chris Clements,70,170,70
Chris Cope,72,170,72
Chris Dempsey,70,185,72
Chris Fishgold,68,145,68
Chris Gruetzemacher,68,155,68
Chris Gutierrez,69,135,69
Chris Heatherly,69,155,68
Chris Holdsworth,71,135,71
Chris Horodecki,69,155,69
Chris Indich,70,170,73
Chris Kelades,67,125,68
Chris Leben,71,185,74
Chris Lytle,71,170,68
Chris Tuchscherer,74,258,76
Chris Wade,70,155,70
Chris Weidman,74,185,78
Chris Wilson,73,170,75
Chris de la Rocha,75,250,80
Christian Colombo,77,265,80
Christian Morecraft,78,260,81
Christian Ocon,68,135,69
Christian Wellisch,74,234,77
Christina Marks,67,125,69
Christos Giagos,70,155,71
Chuck Liddell,74,205,76
Cindy Dandois,67,135,68
Claude Patrick,71,170,75
Claudia Gadelha,64,115,63
Claudio Puelles,71,155,72
Claudio Silva,71,170,71
Clay Collard,71,145,73
Clay Guida,67,155,70
Clay Harvison,73,170,74
Clifford Starks,72,185,77
Clint Hester,74,205,77
Cody Donovan,75,205,74
Cody East,75,245,74
Cody Garbrandt,68,135,65
Cody Gibson,70,135,71
Cody McKenzie,72,155,72
Cody Pfister,70,155,73
Cody Stamann,66,135,64
Colby Covington,71,170,72
Cole Escovedo,67,135,72
Cole Miller,73,145,74
Cole Province,69,145,68
Cole Smith,71,135,67
Colin Fletcher,74,155,78
Collin Hart,73,185,76
Colton Smith,72,155,71
Conor McGregor,69,155,74
Corey Anderson,75,205,79
Corey Hill,76,155,80
Cortney Casey,67,115,67
Cory Sandhagen,71,135,70
Costas Philippou,71,185,73
Coty Wheeler,66,135,67
Court McGee,71,170,75
Craig White,74,170,76
Cris Cyborg,68,145,68
Cristiano Marcello,69,155,72
Cristina Stanciu,63,115,64
Cub Swanson,68,145,70
Cung Le,69,185,69
Curt Warburton,72,155,73
Curtis Blaydes,76,265,80
Curtis Millender,74,170,76
Cynthia Calvillo,64,115,64
Cyril Asker,72,247,74
Cyrille Diabate,78,205,81
DaMarques Johnson,73,170,75
Daichi Abe,71,170,71
Dale Hartt,70,155,69
Damacio Page,66,135,66
Damian Grabowski,73,241,75
Damian Stasiak,65,135,70
Damien Brown,70,155,68
Damir Hadzovic,69,155,70
Damon Jackson,71,145,71
Dan Hardy,72,170,74
Dan Henderson,71,185,74
Dan Hooker,72,155,75
Dan Ige,67,145,71
Dan Miller,73,185,74
Dan Moret,72,155,73
Daniel Cormier,71,235,72
Daniel Jolly,73,205,75
Daniel Kelly,72,185,70
Daniel Omielanczuk,72,247,74
Daniel Pineda,67,145,69
Daniel Roberts,70,170,74
Daniel Sarafian,69,185,73
Daniel Spitz,79,245,82
Daniel Spohn,76,205,79
Daniel Teymur,65,145,69
Danielle Taylor,60,115,60
Danilo Belluardo,72,155,74
Danny Castillo,69,155,71
Danny Downes,72,155,72
Danny Henry,72,145,73
Danny Martinez,66,125,67
Danny Mitchell,74,170,74
Danny Roberts,73,170,74
Darko Stosic,72,205,76
Daron Cruickshank,68,155,72
Darrell Horcher,70,155,70
Darrell Montague,66,125,67
Darren Elkins,70,145,71
Darren Stewart,72,185,74
Darren Till,72,170,74
Darren Uyenoyama,66,125,64
Dashon Johnson,67,145,70
Dave Herman,76,242,76
Dave Jansen,69,155,73
Davey Grant,68,135,69
Davi Ramos,66,155,70
David Bielkheden,70,155,71
David Branch,73,185,78
David Heath,71,205,72
David Loiseau,72,185,76
David Michaud,69,155,72
David Mitchell,72,170,76
David Teymur,69,155,73
David Zawada,72,170,75
DeAnna Bennett,64,125,68
Dean Lister,73,185,75
Deiveson Figueiredo,65,125,68
Deividas Taurosevicius,69,145,68
Demetrious Johnson,63,125,66
Demian Maia,73,170,72
Denis Kang,71,185,77
Dennis Bermudez,66,155,66
Dennis Bryant,72,205,72
Dennis Hallman,69,155,72
Dennis Siver,66,145,70
Derek Brunson,73,185,77
Deron Winn,66,185,70
Derrick Krantz,70,170,72
Derrick Lewis,75,260,79
Desmond Green,70,155,73
Devin Clark,72,205,75
Devin Powell,72,155,73
Devonte Smith,69,155,76
Dhiego Lima,74,170,74
Diego Brandao,67,145,68
Diego Ferreira,69,155,74
Diego Nunes,66,145,67
Diego Rivas,68,145,69
Diego Sanchez,70,170,72
Dileno Lopes,65,135,65
Dmitrii Smoliakov,74,253,74
Dmitry Sosnovskiy,75,240,77
Dom Pilarte,72,135,74
Dominic Waters,73,170,79
Dominick Cruz,68,135,68
Dominick Reyes,76,205,77
Dominique Steele,70,170,74
Don Madge,72,155,72
Don'Tale Mayes,78,260,82
Donald Cerrone,73,155,73
Dong Hyun Kim,74,170,76
Dong Hyun Ma,71,155,70
Dongi Yang,70,185,71
Dooho Choi,70,145,70
Douglas Silva de Andrade,67,135,68
Drakkar Klose,69,155,70
Drew Dober,68,155,70
Drew Fickett,70,155,70
Drew McFedries,72,185,72
Duane Ludwig,70,170,70
Duda Santana,67,145,73
Dustin Hazelett,73,170,76
Dustin Jacoby,76,185,78
Dustin Kimura,67,135,71
Dustin Ortiz,65,125,65
Dustin Pague,69,135,74
Dustin Poirier,69,155,72
Dwight Grant,73,170,76
Dylan Andrews,73,185,73
Ed Herman,73,205,77
Ed Ratcliff,70,155,71
Eddie Alvarez,69,155,69
Eddie Gordon,72,185,76
Eddie Mendez,70,185,76
Eddie Sanchez,74,230,74
Eddie Wineland,67,135,69
Edgar Garcia,70,170,71
Ednaldo Oliveira,77,205,79
Edson Barboza,71,155,75
Edwin Figueroa,67,135,69
Efrain Escudero,69,155,70
Elias Garcia,65,125,67
Elias Silverio,71,155,73
Elias Theodorou,73,185,75
Elias Urbina,75,185,77
Eliot Marshall,74,205,77
Elizabeth Phillips,66,135,65
Elizeu Zaleski dos Santos,71,170,73
Elvis Mutapcic,72,185,72
Elvis Sinosic,75,205,77
Emil Meek,71,170,74
Emily Peters Kagan,63,115,66
Emily Whitmire,65,115,63
Enrique Barzola,67,145,70
Enrique Marin,70,170,74
Eric Schafer,75,185,75
